ds,holiday,country,year
1995-01-01,New Year's Day,JP,1995
1995-01-02,Substitute Holiday,JP,1995
1995-01-15,Coming of Age Day,JP,1995
1995-01-16,Substitute Holiday,JP,1995
1995-02-11,Foundation Day,JP,1995
1995-03-21,Vernal Equinox Day,JP,1995
1995-04-29,Greenery Day,JP,1995
1995-05-03,Constitution Day,JP,1995
1995-05-04,National Holiday,JP,1995
1995-05-05,Children's Day,JP,1995
1995-09-15,Respect for the Aged Day,JP,1995
1995-09-23,Autumnal Equinox,JP,1995
1995-10-10,Physical Education Day,JP,1995
1995-11-03,Culture Day,JP,1995
1995-11-23,Labor Thanksgiving Day,JP,1995
1995-12-23,Emperor's Birthday,JP,1995
1996-01-01,New Year's Day,JP,1996
1996-01-15,Coming of Age Day,JP,1996
1996-02-11,Foundation Day,JP,1996
1996-02-12,Substitute Holiday,JP,1996
1996-03-20,Vernal Equinox Day,JP,1996
1996-04-29,Greenery Day,JP,1996
1996-05-03,Constitution Day,JP,1996
1996-05-04,National Holiday,JP,1996
1996-05-05,Children's Day,JP,1996
1996-05-06,Substitute Holiday,JP,1996
1996-07-20,Marine Day,JP,1996
1996-09-15,Respect for the Aged Day,JP,1996
1996-09-16,Substitute Holiday,JP,1996
1996-09-23,Autumnal Equinox,JP,1996
1996-10-10,Physical Education Day,JP,1996
1996-11-03,Culture Day,JP,1996
1996-11-04,Substitute Holiday,JP,1996
1996-11-23,Labor Thanksgiving Day,JP,1996
1996-12-23,Emperor's Birthday,JP,1996
1997-01-01,New Year's Day,JP,1997
1997-01-15,Coming of Age Day,JP,1997
1997-02-11,Foundation Day,JP,1997
1997-03-20,Vernal Equinox Day,JP,1997
1997-04-29,Greenery Day,JP,1997
1997-05-03,Constitution Day,JP,1997
1997-05-05,Children's Day,JP,1997
1997-07-20,Marine Day,JP,1997
1997-07-21,Substitute Holiday,JP,1997
1997-09-15,Respect for the Aged Day,JP,1997
1997-09-23,Autumnal Equinox,JP,1997
1997-10-10,Physical Education Day,JP,1997
1997-11-03,Culture Day,JP,1997
